epoch 001/70 | loss 2.2998 | train_acc 11.04% | test_acc 12.99% | dl_time 0.81s | train_time 2.98s | eval_time 0.47s
epoch 002/70 | loss 1.9448 | train_acc 27.78% | test_acc 29.84% | dl_time 0.81s | train_time 2.85s | eval_time 0.44s
epoch 003/70 | loss 1.7826 | train_acc 34.16% | test_acc 37.15% | dl_time 0.81s | train_time 2.91s | eval_time 0.44s
epoch 004/70 | loss 1.6707 | train_acc 38.52% | test_acc 40.17% | dl_time 0.81s | train_time 2.90s | eval_time 0.44s
epoch 005/70 | loss 1.5374 | train_acc 44.25% | test_acc 46.73% | dl_time 0.81s | train_time 2.89s | eval_time 0.45s
epoch 006/70 | loss 1.4018 | train_acc 49.07% | test_acc 49.69% | dl_time 0.81s | train_time 2.92s | eval_time 0.44s
epoch 007/70 | loss 1.2881 | train_acc 53.73% | test_acc 56.20% | dl_time 0.81s | train_time 2.89s | eval_time 0.44s
epoch 008/70 | loss 1.2100 | train_acc 56.46% | test_acc 56.31% | dl_time 0.81s | train_time 2.89s | eval_time 0.45s
epoch 009/70 | loss 1.1473 | train_acc 58.49% | test_acc 60.40% | dl_time 0.81s | train_time 2.88s | eval_time 0.44s
epoch 010/70 | loss 1.0922 | train_acc 60.75% | test_acc 60.24% | dl_time 0.81s | train_time 2.89s | eval_time 0.45s
epoch 011/70 | loss 1.0504 | train_acc 62.41% | test_acc 61.54% | dl_time 0.81s | train_time 2.90s | eval_time 0.44s
epoch 012/70 | loss 1.0141 | train_acc 63.82% | test_acc 63.75% | dl_time 0.81s | train_time 2.93s | eval_time 0.44s
epoch 013/70 | loss 0.9842 | train_acc 65.03% | test_acc 65.57% | dl_time 0.81s | train_time 2.90s | eval_time 0.44s
epoch 014/70 | loss 0.9516 | train_acc 66.10% | test_acc 65.71% | dl_time 0.81s | train_time 2.89s | eval_time 0.44s
epoch 015/70 | loss 0.9238 | train_acc 67.19% | test_acc 67.59% | dl_time 0.81s | train_time 2.89s | eval_time 0.44s
epoch 016/70 | loss 0.8988 | train_acc 67.73% | test_acc 69.06% | dl_time 0.81s | train_time 2.90s | eval_time 0.44s
epoch 017/70 | loss 0.8683 | train_acc 69.01% | test_acc 67.20% | dl_time 0.81s | train_time 2.90s | eval_time 0.45s
epoch 018/70 | loss 0.8504 | train_acc 69.62% | test_acc 68.35% | dl_time 0.81s | train_time 2.91s | eval_time 0.44s
epoch 019/70 | loss 0.8291 | train_acc 70.57% | test_acc 69.24% | dl_time 0.81s | train_time 2.89s | eval_time 0.43s
