seed,phase,phase_name,phase_total_runs,phase_epochs_per_run,run_idx,run_total,lr,wd,bs,drop_path_rate,epoch,epoch_total,loss,train_acc_pct,test_acc_pct
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,1,20,2.0423,23.86,28.48
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,2,20,1.8476,31.49,34.58
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,3,20,1.7396,35.84,36.33
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,4,20,1.6291,40.26,43.45
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,5,20,1.4833,45.89,47.58
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,6,20,1.3494,51.15,52.86
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,7,20,1.2543,54.73,55.85
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,8,20,1.1658,58.25,56.8
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,9,20,1.1178,59.85,60.32
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,10,20,1.0652,61.81,61.2
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,11,20,1.0282,62.98,62.5
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,12,20,0.9898,64.65,63.66
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,13,20,0.9565,65.68,65.19
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,14,20,0.9172,67.39,67.3
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,15,20,0.8835,68.58,67.46
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,16,20,0.8574,69.5,68.72
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,17,20,0.8385,70.25,69.26
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,18,20,0.8154,71.06,69.89
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,19,20,0.7963,72.0,70.39
[38042],1,baseline,27,20,1,27,0.0001,0.02,256,0.0,20,20,0.7894,71.91,70.42
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,1,20,2.0627,23.28,27.51
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,2,20,1.8412,31.69,34.42
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,3,20,1.7377,36.13,38.3
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,4,20,1.6405,40.01,41.7
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,5,20,1.5193,44.69,45.9
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,6,20,1.4018,49.0,50.28
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,7,20,1.3121,52.43,53.04
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,8,20,1.2299,55.73,56.55
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,9,20,1.1687,57.95,58.73
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,10,20,1.1187,59.93,60.79
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,11,20,1.074,61.43,62.91
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,12,20,1.0323,63.01,62.63
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,13,20,0.9941,64.68,64.78
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,14,20,0.9689,65.35,65.99
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,15,20,0.9346,66.82,67.04
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,16,20,0.911,67.49,67.9
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,17,20,0.8828,68.7,68.26
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,18,20,0.8635,69.25,69.13
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,19,20,0.8505,69.82,69.22
[38042],1,baseline,27,20,2,27,0.0001,0.02,256,0.1,20,20,0.8409,70.15,69.69
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,1,20,2.0618,23.25,27.81
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,2,20,1.84,32.02,32.82
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,3,20,1.7449,35.53,35.67
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,4,20,1.6621,38.97,40.97
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,5,20,1.5709,42.65,42.99
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,6,20,1.4635,46.85,46.67
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,7,20,1.3573,50.87,49.9
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,8,20,1.2842,53.52,54.9
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,9,20,1.2161,56.02,57.9
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,10,20,1.1519,58.45,58.61
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,11,20,1.1184,59.82,62.21
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,12,20,1.0747,61.5,63.3
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,13,20,1.0501,62.43,63.33
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,14,20,1.0079,63.81,65.07
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,15,20,0.9835,65.03,65.08
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,16,20,0.9575,65.95,66.99
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,17,20,0.9354,66.82,67.51
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,18,20,0.9167,67.28,67.38
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,19,20,0.9006,68.04,68.22
[38042],1,baseline,27,20,3,27,0.0001,0.02,256,0.2,20,20,0.8964,67.97,67.69
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,1,20,2.0393,24.17,29.1
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,2,20,1.821,32.35,34.85
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,3,20,1.7259,36.43,36.18
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,4,20,1.6253,40.75,41.0
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,5,20,1.5153,44.99,45.03
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,6,20,1.4044,48.87,51.16
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,7,20,1.3079,52.88,52.69
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,8,20,1.2312,55.75,55.75
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,9,20,1.1631,58.27,59.36
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,10,20,1.1088,60.03,60.54
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,11,20,1.0638,61.94,63.06
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,12,20,1.0125,63.86,64.27
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,13,20,0.9795,65.16,63.46
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,14,20,0.9416,66.43,66.75
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,15,20,0.9072,67.77,68.07
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,16,20,0.8745,68.91,67.99
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,17,20,0.8543,69.61,68.56
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,18,20,0.8233,70.8,69.76
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,19,20,0.8092,71.33,69.88
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,20,20,0.7989,71.36,69.98
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,1,20,2.0581,23.4,27.69
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,2,20,1.8352,31.81,34.9
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,3,20,1.7387,35.79,35.85
