seed,phase,phase_name,phase_total_runs,phase_epochs_per_run,run_idx,run_total,lr,wd,bs,drop_path_rate,epoch,epoch_total,loss,train_acc_pct,test_acc_pct,dl_time,train_time,eval_time
[38042],,,,,,,,,,,1,70,2.2998,11.04,12.99,0.81s,2.98s,0.47s
[38042],,,,,,,,,,,1,70,2.2608,14.44,15.8,0.78s,3.07s,0.43s
[38042],,,,,,,,,,,1,70,2.3122,11.27,15.37,0.78s,3.03s,0.44s
[38042],,,,,,,,,,,1,70,2.256,14.7,14.78,0.78s,2.82s,0.43s
[38042],,,,,,,,,,,1,70,2.3255,10.2,13.77,0.78s,2.93s,0.44s
[38042],,,,,,,,,,,1,70,2.3232,10.7,15.11,0.78s,2.91s,0.43s
[38042],,,,,,,,,,,1,70,2.2574,14.53,17.56,0.78s,2.81s,0.43s
[38042],,,,,,,,,,,1,70,2.3067,11.28,13.58,0.78s,2.94s,0.43s
[38042],,,,,,,,,,,1,70,2.2896,12.29,15.49,0.78s,2.92s,0.44s
[38042],,,,,,,,,,,1,70,2.2429,16.45,20.12,0.78s,2.81s,0.43s
[38042],,,,,,,,,,,1,70,2.275,14.29,19.59,0.78s,2.95s,0.43s
[38042],,,,,,,,,,,1,70,2.2574,15.66,19.5,0.78s,2.94s,0.43s
[38042],,,,,,,,,,,1,70,2.2658,16.06,21.76,0.79s,2.80s,0.43s
[38042],,,,,,,,,,,1,70,2.2427,16.96,20.65,0.78s,2.98s,0.43s
[38042],,,,,,,,,,,1,70,2.2239,18.22,21.53,0.78s,2.93s,0.43s
[38042],,,,,,,,,,,1,70,2.2495,16.68,20.76,0.78s,2.82s,0.43s
[38042],,,,,,,,,,,1,70,2.2632,13.67,20.12,0.78s,2.92s,0.43s
[38042],,,,,,,,,,,1,70,2.2377,15.36,20.95,0.78s,2.94s,0.43s
[38042],,,,,,,,,,,1,70,2.1523,21.22,24.8,0.78s,2.91s,0.44s
[38042],,,,,,,,,,,1,70,2.1563,21.02,24.72,0.78s,3.06s,0.51s
[38042],,,,,,,,,,,1,70,2.1901,18.83,23.13,0.78s,2.92s,0.43s
[38042],,,,,,,,,,,1,70,2.155,20.02,24.65,0.78s,2.81s,0.42s
[38042],,,,,,,,,,,1,70,2.1694,20.24,24.46,0.78s,2.93s,0.43s
[38042],,,,,,,,,,,1,70,2.1925,18.66,22.73,0.78s,2.93s,0.43s
