seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,1,70,0,64,1.6641461849212646,34.10544443130493,1.4508683681488037,1.9911,25.88,31.58,4.84e-08,3.79e-05,3.79e-05,64,,,
38042,1,70,1,128,1.6598637104034424,17.247062921524048,1.3653628826141357,2.0034,25.14,32.76,1.34e-07,5.23e-05,5.23e-05,128,0.118,0.127,5.0
38042,1,70,2,256,1.6191866397857666,10.058316946029663,1.3996391296386719,1.9983,25.9,31.56,4.75e-07,9.36e-05,9.36e-05,256,0.13,0.106,5.0
38042,1,70,3,64,1.6733572483062744,33.3581428527832,1.3673710823059082,1.9667,26.89,32.77,6.71e-08,5.25e-05,5.25e-05,64,0.15,0.079,5.0
38042,1,70,4,128,1.6779589653015137,17.509827136993408,1.4223301410675049,1.9789,26.35,31.11,1.82e-07,7.15e-05,7.15e-05,128,0.118,0.127,5.0
38042,2,70,0,64,1.6784024238586426,34.07728981971741,1.485325813293457,1.7778,33.66,33.51,3.79e-05,7.58e-05,7.58e-05,64,,,
38042,2,70,1,128,1.6788675785064697,17.380276203155518,1.3679730892181396,1.7793,34.05,36.32,5.23e-05,0.000105,0.000105,128,0.118,0.127,5.0
38042,2,70,2,256,1.6819279193878174,9.982015371322632,1.3713951110839844,1.7839,33.44,33.61,9.36e-05,0.000187,0.000187,256,0.13,0.106,5.0
38042,2,70,3,64,1.6855411529541016,33.66944980621338,1.3626165390014648,1.7537,35.01,36.7,5.25e-05,0.000105,0.000105,64,0.15,0.079,5.0
38042,2,70,4,128,1.6818211078643799,17.461519241333008,1.3806147575378418,1.7658,34.37,36.12,7.15e-05,0.000143,0.000143,128,0.118,0.127,5.0
38042,3,70,0,64,1.6876649856567383,33.506844997406006,1.4241793155670166,1.6554,39.09,42.04,7.58e-05,0.000114,0.000114,64,,,
38042,3,70,1,128,1.6775753498077393,17.898085355758667,1.3814082145690918,1.665,38.54,42.4,0.000105,0.000157,0.000157,128,0.118,0.127,5.0
38042,3,70,2,256,1.6932945251464844,9.915043115615845,1.3759524822235107,1.6619,38.56,40.41,0.000187,0.00028,0.00028,256,0.13,0.106,5.0
38042,3,70,3,64,1.672522783279419,33.46647310256958,1.3725595474243164,1.6133,40.88,43.06,0.000105,0.000158,0.000158,64,0.15,0.079,5.0
38042,3,70,4,128,1.684351921081543,17.768367052078247,1.3648135662078857,1.6364,39.53,41.66,0.000143,0.000214,0.000214,128,0.118,0.127,5.0
38042,4,70,0,64,1.6830852031707764,33.9457893371582,1.3846163749694824,1.5451,43.41,46.45,0.000114,0.000152,0.000152,64,,,
38042,4,70,1,128,1.6819329261779785,17.661282777786255,1.3542265892028809,1.552,43.12,44.42,0.000157,0.000209,0.000209,128,0.118,0.127,5.0
38042,4,70,2,256,1.676090955734253,10.046861410140991,1.3757953643798828,1.5436,43.35,44.88,0.00028,0.000373,0.000373,256,0.13,0.106,5.0
38042,4,70,3,64,1.6941428184509277,34.27365970611572,1.4244112968444824,1.4994,44.85,46.0,0.000158,0.00021,0.00021,64,0.15,0.079,5.0
38042,4,70,4,128,1.6723003387451172,17.497496366500854,1.3682529926300049,1.5219,44.33,49.48,0.000214,0.000285,0.000285,128,0.118,0.127,5.0
38042,5,70,0,64,1.690556287765503,34.66836500167847,1.4151031970977783,1.458,46.58,48.11,0.000152,0.000189,0.000189,64,,,
38042,5,70,1,128,1.6808292865753174,17.647440671920776,1.3683593273162842,1.4686,46.49,46.53,0.000209,0.000261,0.000261,128,0.118,0.127,5.0
38042,5,70,2,256,1.689453363418579,10.187854766845703,1.4021790027618408,1.4687,46.57,47.6,0.000373,0.000466,0.000466,256,0.13,0.106,5.0
38042,5,70,3,64,1.685852289199829,33.89837861061096,1.4333324432373047,1.4399,47.78,48.81,0.00021,0.000262,0.000262,64,0.15,0.079,5.0
38042,5,70,4,128,1.6856815814971924,17.447750568389893,1.4565753936767578,1.4495,47.14,49.53,0.000285,0.000357,0.000357,128,0.118,0.127,5.0
38042,6,70,0,64,1.687821865081787,33.9234983921051,1.3669445514678955,1.3923,49.21,51.67,0.000189,0.000189,0.000189,64,,,
38042,6,70,1,128,1.6916553974151611,17.773292541503906,1.3787975311279297,1.3242,52.06,54.52,1.76e-07,6.91e-05,6.91e-05,128,0.118,0.127,5.0
38042,6,70,2,256,1.6814899444580078,9.90714144706726,1.3872735500335693,1.4126,48.56,50.44,0.000466,0.000466,0.000466,256,0.13,0.106,5.0
