seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,1,60,0,64,5.395642995834351,61.999088525772095,11.392096519470215,1.8867,29.42,36.69,4.84e-08,3.79e-05,3.79e-05,64,0.261,0.149,5.0
38042,1,60,1,128,1.6612722873687744,63.0048508644104,13.56788182258606,1.8981,29.23,35.01,1.34e-07,5.23e-05,5.23e-05,128,0.159,0.121,5.0
38042,2,60,0,64,1.6261787414550781,68.21116876602173,13.086052656173706,1.6182,40.38,43.57,3.79e-05,7.58e-05,7.58e-05,64,0.261,0.149,5.0
38042,2,60,1,128,1.675980806350708,64.78481650352478,13.043758392333984,1.6295,40.16,44.72,5.23e-05,0.000105,0.000105,128,0.159,0.121,5.0
38042,3,60,0,64,1.7308943271636963,68.86885714530945,13.099745273590088,1.4237,47.84,49.85,7.58e-05,0.000114,0.000114,64,0.261,0.149,5.0
38042,3,60,1,128,1.7421164512634277,65.39908289909363,13.093514204025269,1.4241,48.09,50.89,0.000105,0.000157,0.000157,128,0.159,0.121,5.0
38042,4,60,0,64,1.7258579730987549,68.97369241714478,13.122644901275635,1.2991,52.99,55.62,0.000114,0.000152,0.000152,64,0.261,0.149,5.0
38042,4,60,1,128,1.7353858947753906,65.46318626403809,13.076742172241211,1.2922,53.13,55.73,0.000157,0.000209,0.000209,128,0.159,0.121,5.0
38042,5,60,0,64,1.7964859008789062,68.6343002319336,12.958723783493042,1.221,55.98,60.4,0.000152,0.000189,0.000189,64,0.261,0.149,5.0
38042,5,60,1,128,1.6715302467346191,65.11576962471008,12.882821083068848,1.202,56.61,58.88,0.000209,0.000261,0.000261,128,0.159,0.121,5.0
38042,6,60,0,64,1.6946690082550049,68.71274876594543,13.012994050979614,1.1552,58.76,61.56,0.000189,0.000189,0.000189,64,0.261,0.149,5.0
38042,6,60,1,256,1.6835517883300781,63.551795959472656,12.89420747756958,1.048,62.46,62.9,1.96e-07,3.86e-05,3.86e-05,256,0.261,0.149,5.0
38042,7,60,0,64,1.7181928157806396,68.73220729827881,13.023614168167114,1.0873,60.84,62.97,0.000189,0.000189,0.000189,64,0.261,0.149,5.0
38042,7,60,1,256,1.6565876007080078,63.5799674987793,13.05336332321167,0.9881,64.51,65.54,3.86e-05,7.7e-05,7.7e-05,256,0.261,0.149,5.0
38042,8,60,0,64,1.7535645961761475,68.7481906414032,13.18960976600647,1.0288,63.33,66.04,0.000189,0.000188,0.000188,64,0.261,0.149,5.0
38042,8,60,1,256,1.6655538082122803,63.203927993774414,12.9431791305542,0.968,65.51,65.95,7.7e-05,0.000115,0.000115,256,0.261,0.149,5.0
38042,9,60,0,64,1.7421445846557617,68.80901861190796,12.973018407821655,0.9793,65.05,63.35,0.000188,0.000187,0.000187,64,0.261,0.149,5.0
38042,9,60,1,256,1.694580078125,63.42635178565979,13.117745876312256,0.9551,65.89,65.76,0.000115,0.000154,0.000154,256,0.261,0.149,5.0
38042,10,60,0,64,1.7073032855987549,68.93415594100952,13.116306066513062,0.9299,67.12,67.83,0.000187,0.000186,0.000186,64,0.261,0.149,5.0
